noun,total,Collective,Common,Count,Derived,Eventive,Mass,Pluralia Tantum,Singularia Tantum,Usually Verb,Verbalizable,Cluster
amusement,0.69480386,0.3223193,0.92070812,0.92991114,0.0,0.95505577,0.48269778,0.0,0.0,-0.98603457,-1.92985368,0
anagram,2.43037531,0.35501537,0.90732059,0.92336437,0.0,0.86685207,0.31913212,0.0,0.0,0.0,-0.94130921,1
analgesia,2.6727919,0.27056572,0.91262066,0.95177564,0.0,0.95172107,0.47264689,0.0,0.0,-0.88653809,0.0,0
analog,0.29238728,0.3368836,0.87789416,0.95999628,0.0,0.7912744,0.0,0.0,0.0,-0.90797132,-1.76568985,0
analogue,-0.35660654,0.26651576,0.92511824,0.9598906,0.0,0.80470362,0.31697056,0.0,0.0,-0.94201881,-2.68778652,0
analogy,0.83735186,0.32003874,0.95747027,0.96427947,0.0,0.94448686,0.44707188,0.0,0.0,-0.89336699,-1.90262836,0
analysis,1.34669375,0.44904736,0.8893711,0.95632848,0.0,0.97541949,0.45518437,0.0,0.0,-0.90557253,-1.47308451,0
analyst,-2.15750292,0.38884452,0.74245051,0.68947339,0.0,0.36977759,0.0,-0.83579761,-0.67234933,-0.93974268,-1.9001593,2
analytics,-1.81600568,0.25857586,0.70723432,0.0,0.0,0.95230469,0.2960912,-0.6921224,-0.53457803,-0.90216064,-1.90135068,2
anarchist,-1.22227105,0.72585145,0.72216642,0.81195903,0.0,0.0,0.0,-0.82704222,-0.78887141,-0.9392522,-0.92708212,2
anarchy,1.60594821,0.40829155,0.79518589,0.93372923,0.67878264,0.93371946,0.4155165,0.0,0.0,-0.7308473,-1.82842976,1
anatomy,0.95147687,0.43252337,0.89950857,0.96229786,0.0,0.94761071,0.47905338,0.0,0.0,-0.86059362,-1.90892339,0
ancestor,-0.3969996,0.34710887,0.78025776,0.82040629,0.0,0.33194506,0.43817693,0.0,-0.50062943,-0.97622001,-1.63804507,0
anchovy,2.33797395,0.85994956,0.88000122,0.9501718,0.0,0.71364051,0.81613252,0.0,0.0,-0.98035866,-0.90156299,0
android,1.16604728,0.34810552,0.90961516,0.95230407,0.0,0.40538672,0.41342849,0.0,0.0,-0.92682272,-0.93596995,0
anesthesiologist,0.20808429,0.33578578,0.76265091,0.77234483,0.0,0.3596403,0.29958424,-0.75091076,-0.59158999,-0.97942102,0.0,2
anesthesiology,2.80126101,0.80591011,0.77272022,0.9463934,0.0,0.93322411,0.31794733,0.0,0.0,-0.97493416,0.0,0
angel,-1.39813641,0.36514449,0.80118048,0.82386622,0.0,0.0,0.0,0.0,-0.52251393,-0.93712425,-1.92868942,2
anger,0.19472522,0.0,0.81561452,0.64786327,0.0,0.90997264,0.48164633,0.0,0.0,-0.95641285,-1.70395869,0
angina,0.13445902,0.82250714,0.7331602,0.95829737,0.0,0.27650186,0.30735251,-0.52486205,0.0,-0.94696623,-1.49153179,0
angiosperm,1.00038484,0.46568155,0.91867623,0.95292661,0.0,0.42623526,0.70974168,0.0,0.0,-0.83673733,-1.63613915,0
angle,0.25085798,0.0,0.93860659,0.95806137,0.0,0.72955218,0.0,0.0,0.0,-0.89956754,-1.47579461,0
angora,0.18918329,0.74298739,0.46605077,0.92343512,0.0,0.39292088,0.34764579,0.0,0.0,-0.96357954,-1.72027713,0
angstrom,0.92822659,0.47677326,0.7524122,0.88461953,0.0,0.76483387,0.36740386,0.0,0.0,-0.88001096,-1.43780518,0
